word,count
creating,11132
permitted,11110
replacement,11110
guilty,11110
established,11110
dressing,11088
shed,11088
refused,11066
reflection,11066
vision,11066
suspicion,11044
quarrel,11044
naked,11044
legal,11044
utterly,11022
beth,11022
alarm,11022
gown,11022
holder,11000
frame,11000
desires,11000
prayer,10978
lit,10978
bishop,10978
muttered,10978
distributed,10978
fill,10978
lonely,10978
meat,10956
passions,10956
departure,10956
surrounded,10934
soveraign,10934
gloucester,10934
dick,10934
donate,10912
hills,10912
method,10890
borne,10890
slaves,10890
cover,10890
sell,10890
market,10890
armed,10868
facts,10868
dared,10868
feast,10868
genius,10868
informed,10846
delivered,10846
bill,10846
sheep,10846
perceive,10846
thither,10846
gracious,10824
recognized,10802
troubled,10780
affected,10780
fighting,10780
useful,10780
agnes,10780
gained,10780
china,10780
